编号	类型	描述
39	軍團BOSS說明	<font color="#8a4c0fff" size="24"><line>『玩法規則』</font><font color="#8a4c0fff" size="20"><line> ※每日10:00~22:00可進行軍團BOSS挑戰。<line> ※成功擊殺BOSS且軍團達到指定等級後，次日即可挑戰更強大的BOSS。<line> ※軍團BOSS等級越高，參與或擊殺軍團BOSS所能獲得的獎勵越豐厚。<line> ※玩家可進行鼓舞提升本輪活動中軍團成員對BOSS的傷害。<line> ※活動結束時，將根據軍團挑戰成績排行向軍團全員發放獎勵郵件。</font>
40	軍團篝火說明	<font color="#8a4c0fff" size="24"><line>『玩法規則』</font><font color="#8a4c0fff" size="20"><line> ※每位玩家每天僅能參與1場篝火活動。<line> ※篝火活動開啟後，需要在軍團主介面主動操作加入篝火活動。<line> ※活動期間，加入篝火活動的玩家將不斷獲得經驗，並在活動結束後發放累積經驗至郵箱。<line> ※每位參與活動的玩家均可通過添柴或加火提升篝火等級。<line> ※篝火等級提升時，將觸發篝火等級大紅包。<line> ※每位玩家在添柴和加火時都有一定概率觸發添柴或加火紅包。<line> ※點擊主介面上的紅包圖標即可搶奪篝火紅包，手慢無哦！</font>
41	符文說明	<font color="#8a4c0fff" size="24"><line>『符文規則』</font><font color="#8a4c0fff" size="20"><line> ※每位英雄均有4個可放置符文的符文臺。<line> ※符文分為破壞、抵禦、洞察、祝福4類。<line> ※每位英雄在放置符文時，同一種類的符文僅能放置1枚。<line> ※挑戰勇者之塔可獲取更多的符文和符文精華。<line> ※符文可使用符文精華進行升級。<line> ※符文可分解為符文結晶，分解已升級符文100%返還符文精華。</font>
42	村莊爭奪說明	<font color="#8a4c0fff" size="24"><line>『村莊領主爭奪』</font><font color="#8a4c0fff" size="20"><line> ※僅戰隊隊長可發起村莊領主爭奪，僅可同時奪得1個村莊的領主。<line> ※爭奪新的村莊領主時需要從原村莊撤離。<line> ※爭奪領主成功後，將獲得一段保護時間。<line> ※奪得村莊領主後，每位解鎖該村莊的戰隊成員均可持續采集村莊資源直至村莊資源枯竭。<line> ※村莊領主被其他玩家搶奪後，戰隊成員將失去采集村莊資源的權利。  <line> ※村莊資源儲量每日5:00重置。</font><font color="#8a4c0fff" size="24"><line><line>『村莊地塊爭奪』</font><font color="#8a4c0fff" size="20"><line> ※每位玩家均可向村莊地塊發起爭奪，僅可同時佔領1個地塊。<line> ※爭奪新的地塊時需要從原地塊撤離。<line> ※每次佔領地塊成功時，需要消耗1枚占地憑證。<line> ※玩家佔領地塊成功後，將獲得一段保護時間。<line> ※佔領地塊成功後，可在6小時內持續獲得地塊收益。<line> ※地塊被其他玩家搶奪後，將終止地塊收益。</font><font color="#8a4c0fff" size="24"><line><line>『其他規則』</font><font color="#8a4c0fff" size="20"><line> ※保護時間內無法主動撤離，也不會遭到攻擊。<line> ※村莊收益均通過郵件發送至郵箱，請注意查收。</font>
43	尋寶說明	<font color="#8a4c0fff" size="24"><line>『玩法規則』</font><font color="#8a4c0fff" size="20"><line> ※長按骰子進行投擲，每次投擲消耗1個骰子。<line> ※盡量使遊標停留在期望的點數區間進行投擲，這樣擲出期望點數的機率將得到提升。<line> ※每隔60分鐘回復1個骰子，最多可存儲50個。<line> ※移動經過終點可獲得一個隨機寶箱。<line> ※集齊4個王者寶箱碎片可獲得1個王者寶箱。<line> ※移動到事件格子可觸發事件，移動到資源格子將直接獲得資源。</font>
44	燈神祈願說明	<font color="#8a4c0fff" size="24"><line>『活動規則』</font><font color="#8a4c0fff" size="20"><line> ※玩家每在線5分鐘可獲得1點祈願點數，每天最高可獲得7點。<line> ※點擊中意的道具向燈神祈願，每次消耗1點祈願點數。<line> ※可使用金幣重置道具種類，每天免費3次。<line> ※次日進入活動介面即可領取昨日許下的願望。</font>
45	英雄置換說明	<font color="#8a4c0fff" size="24"><line>『置換規則』</font><font color="#8a4c0fff" size="20"><line> ※消耗一定的魔法棒或鑽石可將放入法陣的英雄進行置換。<line> ※置換優先消耗魔法棒。<line> ※置換可獲得同星級隨機英雄。<line> ※僅支持神話4星、5星英雄的置換。<line> ※4星英雄置換消耗：[魔法棒*1]或[鑽石*50]。<line> ※5星英雄置換消耗：[魔法棒*10]或[鑽石*500]。</font>
46	普通轉盤說明	<font color="#8a4c0fff" size="24"><line>『轉盤規則』</font><font color="#8a4c0fff" size="20"><line> ※每次抽獎均有機會獲得1%、5%、10%幸運積分獎勵，獎池越高獲得的幸運積分越高。<line> ※每次抽獎獎池幸運積分增加8分，普通轉盤獎池幸運積分初始值為20000。<line> ※獎池幸運積分為跨服幸運積分，跨服的伺服器共享獎池幸運積分，獎池幸運積分每周一初始化一次。<line> ※幸運積分可在幸運商店兌換極品道具，玩家獲得的幸運積分不重置。<line> ※幸運幣可以在珍品商店使用鑽石購買、購買活動禮包、特定活動領取等方式獲得。</font>
47	高級轉盤說明	<font color="#8a4c0fff" size="24"><line>『轉盤規則』</font><font color="#8a4c0fff" size="20"><line> ※每次抽獎均有機會獲得1%、5%、10%幸運積分獎勵，獎池越高獲得的幸運積分越高。<line> ※每次抽獎獎池幸運積分增加160分，高級轉盤獎池幸運積分初始值為200000。<line> ※獎池幸運積分為跨服幸運積分，跨服的伺服器共享獎池幸運積分，獎池幸運積分每周一初始化一次。<line> ※幸運積分可在幸運商店兌換極品道具，玩家獲得的幸運積分不重置。<line> ※高級幸運幣可以在珍品商店使用鑽石購買、購買活動禮包、特定活動領取等方式獲得。</font>
48	英雄合成說明	<font color="#8a4c0fff" size="24"><line>『合成規則』</font><font color="#8a4c0fff" size="20"><line> ※消耗指定的材料即可獲得想要的極品英雄。</font><font color="#8a4c0fff" size="24"><line><line>『合成消耗說明』</font><font color="#8a4c0fff" size="20"><line> ※使用已養成過的英雄作為合成材料時將進行材料返還。<line> ※100%返還英雄升級消耗的材料!<line> ※100%返還英雄升品消耗的材料!<line> ※100%返還部位覺醒消耗的材料!<line> ※100%卸下使用中的裝備!<line> ※100%卸下使用中的寶石!<line> ※100%卸下使用中的符文!</font>
49	章魚寶藏說明	<font color="#8a4c0fff" size="24"><line>『挑戰規則』</font><font color="#8a4c0fff" size="20"><line> ※在限定挑戰時間內，戰勝邪惡章魚蠱惑的寶藏守衛，即可獲得豐厚寶藏！<line> ※通關補給站類型的寶藏關卡，可恢復全部出戰單位的血量。<line> ※若挑戰成功，將保存參戰英雄的血量狀態，並獲得關卡寶藏。<line> ※若挑戰失敗不會保存血量狀態，您可多次嘗試各種挑戰陣容。</font>
50	簽到說明	<font color="#8a4c0fff" size="24"><line>『簽到規則』</font><font color="#8a4c0fff" size="20"><line> ※每日登陸遊戲後可領取一次獎勵。<line> ※領取完30次後獎勵內容刷新，重新開始領取，未領取完時不會刷新。<line> ※當日登陸但未領取的獎勵，可以下次登陸時領取。</font>
51	命運之輪說明	<font color="#8a4c0fff" size="24"><line>『命運之輪規則』</font><font color="#8a4c0fff" size="20"><line> ※使用命運幣轉動命運小輪獲得道具，每次從剩餘道具中獲得獎勵。<line> ※抽到命運之針時激活命運大輪轉動，獲得命運大輪中道具與命運小輪中本輪剩餘所有道具。<line> ※每次抽取命運大輪獲得道具不同，即從剩餘道具中獲得獎勵，當只剩下一個道具時，抽取必中。</font>
