索引	音效	内容
GUIDE_STR_104	0	每次点击都有机会提升天命等级，快来试试吧
GUIDE_STR_105	0	开启装备部位，点击查看
GUIDE_STR_106	0	部位觉醒可获得能力提升
GUIDE_STR_107	0	部位觉醒至2星将开启宝石镶嵌
GUIDE_STR_108	0	大本营最多可存12小时的产出，记得时常领取哦
GUIDE_STR_109	0	让我们快去看看获得的装备碎片吧
GUIDE_STR_110	0	点击合成按钮，看看能够获得什么好装备吧
GUIDE_STR_111	0	点击可自动释放
GUIDE_STR_112	0	当有足够的英雄碎片，即可合成新英雄！
GUIDE_STR_113	0	点击合成按钮，让我们快来看看这位新英雄吧！
GUIDE_STR_114	0	继续前往冒险吧！
GUIDE_STR_115	0	唔，新的征程~
GUIDE_TIPS_19	0	左右滑动查看其他兵种
GUIDE_STR_116	0	报告前方有情况耶！
GUIDE_STR_117	0	感谢勇士的相救，一定让父王重赏你！
GUIDE_STR_118	0	小意思啦！
GUIDE_STR_119	0	小龙，别跑！
GUIDE_STR_120	0	公主，小心！
GUIDE_STR_121	0	冒险关卡可解锁挂机掉落
GUIDE_STR_122	0	招募伙伴一起冒险
GUIDE_STR_123	0	让我们征服这片大陆
