编号	类型	描述
39	军团BOSS说明	<font color="#8a4c0fff" size="24"><line>『玩法规则』</font><font color="#8a4c0fff" size="20"><line> ※每日10:00~22:00可进行军团BOSS挑战。<line> ※成功击杀BOSS且军团达到指定等级后，次日即可挑战更强大的BOSS。<line> ※军团BOSS等级越高，参与或击杀军团BOSS所能获得的奖励越丰厚。<line> ※玩家可进行鼓舞提升本轮活动中军团成员对BOSS的伤害。<line> ※活动结束时，将根据军团挑战成绩排行向军团全员发放奖励邮件。</font>
40	军团篝火说明	<font color="#8a4c0fff" size="24"><line>『玩法规则』</font><font color="#8a4c0fff" size="20"><line> ※每位玩家每天仅能参与1场篝火活动。<line> ※篝火活动开启后，需要在军团主界面主动操作加入篝火活动。<line> ※活动期间，加入篝火活动的玩家将不断获得经验，并在活动结束后发放累积经验至邮箱。<line> ※每位参与活动的玩家均可通过添柴或加火提升篝火等级。<line> ※篝火等级提升时，将触发篝火等级大红包。<line> ※每位玩家在添柴和加火时都有一定概率触发添柴或加火红包。<line> ※点击主界面上的红包图标即可抢夺篝火红包，手慢无哦！</font>
41	符文说明	<font color="#8a4c0fff" size="24"><line>『符文规则』</font><font color="#8a4c0fff" size="20"><line> ※每位英雄均有4个可放置符文的符文台。<line> ※符文分为破坏、抵御、洞察、祝福4类。<line> ※每位英雄在放置符文时，同一种类的符文仅能放置1枚。<line> ※挑战勇者之塔可获取更多的符文和符文精华。<line> ※符文可使用符文精华进行升级。<line> ※符文可分解为符文结晶，分解已升级符文100%返还符文精华。</font>
42	村庄争夺说明	<font color="#8a4c0fff" size="24"><line>『村庄领主争夺』</font><font color="#8a4c0fff" size="20"><line> ※仅战队队长可发起村庄领主争夺，仅可同时夺得1个村庄的领主。<line> ※争夺新的村庄领主时需要从原村庄撤离。<line> ※争夺领主成功后，将获得一段保护时间。<line> ※夺得村庄领主后，每位解锁该村庄的战队成员均可持续采集村庄资源直至村庄资源枯竭。<line> ※村庄领主被其他玩家抢夺后，战队成员将失去采集村庄资源的权利。  <line> ※村庄资源储量每日5:00重置。</font><font color="#8a4c0fff" size="24"><line><line>『村庄地块争夺』</font><font color="#8a4c0fff" size="20"><line> ※每位玩家均可向村庄地块发起争夺，仅可同时占领1个地块。<line> ※争夺新的地块时需要从原地块撤离。<line> ※每次占领地块成功时，需要消耗1枚占地凭证。<line> ※玩家占领地块成功后，将获得一段保护时间。<line> ※占领地块成功后，可在6小时内持续获得地块收益。<line> ※地块被其他玩家抢夺后，将终止地块收益。</font><font color="#8a4c0fff" size="24"><line><line>『其他规则』</font><font color="#8a4c0fff" size="20"><line> ※保护时间内无法主动撤离，也不会遭到攻击。<line> ※村庄收益均通过邮件发送至邮箱，请注意查收。</font>
43	寻宝说明	<font color="#8a4c0fff" size="24"><line>『玩法规则』</font><font color="#8a4c0fff" size="20"><line> ※长按骰子进行投掷，每次投掷消耗1个骰子。<line> ※尽量使游标停留在期望的点数区间进行投掷，这样掷出期望点数的几率将得到提升。<line> ※每隔60分钟回复1个骰子，最多可存储50个。<line> ※移动经过终点可获得一个随机宝箱。<line> ※集齐4个王者宝箱碎片可获得1个王者宝箱。<line> ※移动到事件格子可触发事件，移动到资源格子将直接获得资源。</font>
44	灯神祈愿说明	<font color="#8a4c0fff" size="24"><line>『活动规则』</font><font color="#8a4c0fff" size="20"><line> ※玩家每在线5分钟可获得1点祈愿点数，每天最高可获得7点。<line> ※点击中意的道具向灯神祈愿，每次消耗1点祈愿点数。<line> ※可使用金币重置道具种类，每天免费3次。<line> ※次日进入活动界面即可领取昨日许下的愿望。</font>
45	英雄置换说明	<font color="#8a4c0fff" size="24"><line>『置换规则』</font><font color="#8a4c0fff" size="20"><line> ※消耗一定的魔法棒或钻石可将放入法阵的英雄进行置换。<line> ※置换优先消耗魔法棒。<line> ※置换可获得同星级随机英雄。<line> ※仅支持神话4星、5星英雄的置换。<line> ※4星英雄置换消耗：[魔法棒*1]或[钻石*50]。<line> ※5星英雄置换消耗：[魔法棒*10]或[钻石*500]。</font>
46	普通转盘说明	<font color="#8a4c0fff" size="24"><line>『转盘规则』</font><font color="#8a4c0fff" size="20"><line> ※每次抽奖均有机会获得1%、5%、10%幸运积分奖励，奖池越高获得的幸运积分越高。<line> ※每次抽奖奖池幸运积分增加8分，普通转盘奖池幸运积分初始值为20000。<line> ※奖池幸运积分为跨服幸运积分，跨服的服务器共享奖池幸运积分，奖池幸运积分每周一初始化一次。<line> ※幸运积分可在幸运商店兑换极品道具，玩家获得的幸运积分不重置。<line> ※幸运币可以在珍品商店使用钻石购买、购买活动礼包、特定活动领取等方式获得。</font>
47	高级转盘说明	<font color="#8a4c0fff" size="24"><line>『转盘规则』</font><font color="#8a4c0fff" size="20"><line> ※每次抽奖均有机会获得1%、5%、10%幸运积分奖励，奖池越高获得的幸运积分越高。<line> ※每次抽奖奖池幸运积分增加160分，高级转盘奖池幸运积分初始值为200000。<line> ※奖池幸运积分为跨服幸运积分，跨服的服务器共享奖池幸运积分，奖池幸运积分每周一初始化一次。<line> ※幸运积分可在幸运商店兑换极品道具，玩家获得的幸运积分不重置。<line> ※高级幸运币可以在珍品商店使用钻石购买、购买活动礼包、特定活动领取等方式获得。</font>
48	英雄合成说明	<font color="#8a4c0fff" size="24"><line>『合成规则』</font><font color="#8a4c0fff" size="20"><line> ※消耗指定的材料即可获得想要的极品英雄。</font><font color="#8a4c0fff" size="24"><line><line>『合成消耗说明』</font><font color="#8a4c0fff" size="20"><line> ※使用已养成过的英雄作为合成材料时将进行材料返还。<line> ※100%返还英雄升级消耗的材料!<line> ※100%返还英雄升品消耗的材料!<line> ※100%返还部位觉醒消耗的材料!<line> ※100%卸下使用中的装备!<line> ※100%卸下使用中的宝石!<line> ※100%卸下使用中的符文!</font>
49	章鱼宝藏说明	<font color="#8a4c0fff" size="24"><line>『挑战规则』</font><font color="#8a4c0fff" size="20"><line> ※在限定挑战时间内，战胜邪恶章鱼蛊惑的宝藏守卫，即可获得丰厚宝藏！<line> ※通关补给站类型的宝藏关卡，可恢复全部出战单位的血量。<line> ※若挑战成功，将保存参战英雄的血量状态，并获得关卡宝藏。<line> ※若挑战失败不会保存血量状态，您可多次尝试各种挑战阵容。</font>
50	签到说明	<font color="#8a4c0fff" size="24"><line>『签到规则』</font><font color="#8a4c0fff" size="20"><line> ※每日登陆游戏后可领取一次奖励。<line> ※领取完30次后奖励内容刷新，重新开始领取，未领取完时不会刷新。<line> ※当日登陆但未领取的奖励，可以下次登陆时领取。</font>
51	命运之轮说明	<font color="#8a4c0fff" size="24"><line>『命运之轮规则』</font><font color="#8a4c0fff" size="20"><line> ※使用命运币转动命运小轮获得道具，每次从剩余道具中获得奖励。<line> ※抽到命运之针时激活命运大轮转动，获得命运大轮中道具与命运小轮中本轮剩余所有道具。<line> ※每次抽取命运大轮获得道具不同，即从剩余道具中获得奖励，当只剩下一个道具时，抽取必中。</font>
