关键字	中文
ROLE_DESTINY_INFO2	【均突破+%d】
ROLE_DESTINY_INFO3	【同时上阵】
ROLE_DESTINY_INFO4	点亮图鉴即可激活属性
ROLE_LIST_TITLE1	上阵
ROLE_LIST_TITLE2	碎片
ROLE_LIST_TITLE3	卡牌
ROLE_EXCHANGE_TITLE	换将变化
ROLE_EXCHANGE_DESC1	继承等级
ROLE_EXCHANGE_DESC2	继承部队
ROLE_EXCHANGE_DESC3	继承装备
ROLE_EXCHANGE_DESC4	继承部位
ROLE_EXCHANGE_DESC5	继承天命
ROLE_EXCHANGE_DESC6	返还英雄突破材料
ROLE_EXCHANGE_DESC7	返还头衔晋级材料
ROLE_EXCHANGE_DESC8	返还英雄升品材料
ROLE_EXCHANGE_PERCENT	100%
ROLE_EXCHANGE_TIPS	提示：请放心更换英雄
ROLE_SELECT_TITLE1	英雄选择
ROLE_SELECT_TITLE2	英雄更换
ROLE_SELECT_INFO1	暂无英雄
ROLE_SELECT_INFO2	拥有：
ROLE_SELECT_INFO3	上阵
ROLE_SELECT_INFO4	更换
ROLE_SELECT_INFO5	正在做为佣兵的英雄不能下阵
ROLE_SELECT_INFO6	成功分解1张%s获得%s将魂
ROLE_SELECT_INFO7	是否分解高品质英雄？
ROLE_SELECT_INFO8	%d级开启
ROLE_SELECT_INFO9	一键换装
ROLE_BASE_ATTR_LABEL	英雄基础属性
ROLE_WINDOW_TILTE_PART	英雄部位
ROLE_WINDOW_TILTE_SOLDIER	部队
ROLE_WINDOW_TILTE_SOLDIER_INFO	部队详情
ROLE_SOLDIER_SUB_TITLE	小兵升星
ROLE_SOLDIER_TIPS1	部队所有单位均继承英雄100%属性
ROLE_SOLDIER_TIPS2	伤害提升+%d
ROLE_SOLDIER_TIPS3	无技能
ROLE_SOLDIER_TIPS4	部队护甲：
ROLE_SOLDIER_TIPS5	解锁新技能：
ROLE_WINDOW_TITLE_1	英雄上阵
ROLE_WINDOW_TITLE_3	英雄碎片
ROLE_WINDOW_TITLE_2	英雄
ROLE_EQUIP_TIPS_1	%d级开启精炼
ROLE_EQUIP_TIPS_2	%d级开启强化
ROLE_SKILL_TYPE_1	常规技
ROLE_SKILL_TYPE_2	怒气技
ROLE_FATE_INFO_1	缘份激活：
SKILL_TIPS_DESC_1	怒气满时释放
SKILL_TIPS_DESC_2	每攻击
SKILL_TIPS_DESC_3	次释放
SKILL_TIPS_DESC_4	升级后
ROLE_TIPS_TITLE_1	属性加成详情
ROLE_TIPS_INFOTX_1	评级
ROLE_TIPS_INFOTX_2	评级越高基础属性越高
ROLE_TIPS_INFOTX_3	基础属性
ROLE_TIPS_INFOTX_4	部位加成
ROLE_TIPS_INFOTX_5	强化加成
ROLE_TIPS_INFOTX_6	精炼加成
ROLE_TIPS_INFOTX_7	同时上阵 战力提升
ROLE_TIPS_INFOTX_8	英雄%s阶解锁%s
ROLE_TIPS_INFOTX_9	常规技能
ROLE_TIPS_INFOTX_10	怒气技能
ROLE_TIPS_INFOTX_11	英雄基础
ROLE_STR_HERO_LEVEL_NOT_ENOUGH	英雄等级不足
ROLE_TIANMING_INFO	当前技能等级: %d
GEM_SELECT_TITLE	宝石选择
GEM_SELECT_INFO1	暂无可镶嵌宝石
GEM_SELECT_INFO2	部位仅可镶嵌
STR_POSCANTOPEN1	%d级解锁
STR_POSCANTOPEN2	上阵新英雄
STR_POSCANTOPEN3	暂无英雄
EQUIP_QUALITY_TX1	普通装备
EQUIP_QUALITY_TX2	杰出装备
EQUIP_QUALITY_TX3	稀有装备
EQUIP_QUALITY_TX4	史诗装备
EQUIP_QUALITY_TX5	神话装备
EQUIP_QUALITY_TX6	远古装备
EQUIP_QUALITY_TX7	创世装备
HERO_QUALITY_TX1	普通英雄
HERO_QUALITY_TX2	杰出英雄
HERO_QUALITY_TX3	稀有英雄
HERO_QUALITY_TX4	史诗英雄
HERO_QUALITY_TX5	神话英雄
HERO_QUALITY_TX6	远古英雄
HERO_QUALITY_TX7	创世英雄
BAG_TAB_STR1	道具
BAG_TAB_STR2	宝石
BAG_TAB_STR3	装备
BAG_TAB_STR4	碎片
BAG_TAB_STR5	没有任何道具
BAG_BTN_STR1	使用
BAG_BTN_STR2	查看
BAG_BTN_STR3	合成
BAG_BTN_STR4	跳转
BAG_BTN_STR5	获取
BAG_BTN_STR6	提升
BAG_BTN_STR7	出售
MATERIAL_NOT_ENOUGH	材料不足
STR_NEEDLV	需要英雄%s级
MAINSCENE_BTN_STE1	冒险
MAINSCENE_BTN_STE2	回城
SIDEBR_BTN_STR1	英雄
SIDEBR_BTN_STR2	背包
SIDEBR_BTN_STR3	战队
SIDEBR_BTN_STR4	任务
SIDEBR_BTN_STR5	战报
SIDEBR_BTN_STR6	圣物
SIDEBR_BTN_STR7	限时
SIDEBR_BTN_STR8	活动
SIDEBR_BTN_STR9	指引
SIDEBR_BTN_STR10	排行
SIDEBR_BTN_STR11	帝王
SIDEBR_BTN_STR12	打宝
SIDEBR_BTN_STR14	寻宝
SIDEBR_BTN_STR18	村庄争夺
SIDEBR_BTN_STR19	变强
AREAN_TITLE_TX1	竞技场成就
AREAN_TITLE_TX2	%s级
AREAN_TITLE_TX3	%s竞技场
AREAN_BTN_TX1	换一换
AREAN_BTN_TX2	布阵
AREAN_BTN_TX3	战报
AREAN_BTN_TX4	排行
AREAN_BTN_TX5	商店
AREAN_BTN_TX6	成就
AREAN_BTN_TX7	挑 战
AREAN_BTN_TX8	查 看
AREAN_BTN_TX9	我自己
AREAN_BTN_TX10	扫 荡
AREAN_TIP_TX1	每日免费挑战次数：
AREAN_TIP_TX2	每日
AREAN_TIP_TX3	邮件发送排名奖励
AREAN_TIP_TX4	当前排名奖励
AREAN_TIP_TX5	排名：
AREAN_TIP_TX6	剩余挑战次数不足
AREAN_TIP_TX7	已没有购买次数
AREAN_TIP_TX8	%s奖励
AREAN_TIP_TX9	当前排名：
AREAN_TIP_TX10	历史最高
AREAN_TIP_TX11	%s成就预览
AREAN_TIP_TX12	%s%d名
AREAN_TIP_TX13	排名上升%d名
AREAN_TIP_TX14	尚未解锁该竞技场，是否前往该关卡?
AREAN_TIP_TX15	您已参加%s竞技场，参与新的竞技场时旧竞技场的排名信息将会清空!
AREAN_TIP_TX16	您的能力太强了，快去看看其他竞技场吧!
AREAN_TIP_TX17	排名未改变
AREAN_TIP_TX18	额外获取：
ARENA_BUY_CHALLENGE	是否花费%d钻石购买1次挑战次数？
ARENA_BUY_CHALLENGE_TIMES	今日剩余购买%d次
ARENA_AWARDS_GET_TIME	每日%s:00发放排名奖励至邮箱
ARENA_LEVEL_STR_1	黄铜
ARENA_LEVEL_STR_2	白银
ARENA_LEVEL_STR_3	黄金
ARENA_LEVEL_STR_4	紫金
ARENA_LEVEL_STR_5	钻石
ARENA_LEVEL_STR_6	王者
ARENA_TIPS_1	通关[%s.%s]解锁
ARENA_TIPS_2	[%s.%s]
ARENA_SERVER_TITLE	%d服
HOOK_MIAN_TITLE1	大本营挂机
HOOK_MIAN_TITLE2	捕获哥布林
HOOK_MIAN_TITLE3	探索任务
HOOK_MIAN_TITLE4	魔法阵
HOOK_MIAN_EXPLAIN1	魔法阵开启后，挂机击杀怪物时有几率将怪物死亡时释放的能量转化为所需的资源，若离线长达%d天，法阵将停止运转
HOOK_MIAN_EXPLAIN2	转化法阵
HOOK_MIAN_EXPLAIN3	法阵激活后，将持续产出
HOOK_MIAN_EXPLAIN4	激活法阵需要获得
HOOK_MIAN_EXPLAIN5	魔法阵转化率说明
HOOK_MIAN_EXPLAIN6	能量转化率越高，每日资源产量越高
HOOK_MIAN_EXPLAIN7	基础转化率
HOOK_MIAN_EXPLAIN8	转化率
HOOK_MIAN_BTNTX1	挂机
HOOK_MIAN_BTNTX2	BOSS
HOOK_MIAN_BTNTX3	搜寻
HOOK_MIAN_BTNTX4	前往挑战
HOOK_MIAN_BTNTX5	全部领取
HOOK_MIAN_BTNTX6	加速挂机
HOOK_MIAN_BTNTX7	领取奖励
HOOK_MIAN_BTNTX8	前往获得
HOOK_MIAN_BTNTX9	查看详情
HOOK_MIAN_INFOTX1	前往挑战Lv.%d提升挂机奖励
HOOK_MIAN_INFOTX2	需要战力：
HOOK_MIAN_INFOTX3	%d/h
HOOK_MIAN_INFOTX4	当前收益状态：
HOOK_MIAN_INFOTX5	收益暂停
HOOK_MIAN_INFOTX6	暂无获取
HOOK_MIAN_INFOTX7	尚未探索到更强大的怪物
HOOK_MIAN_INFOTX8	哥布林可能掉落
HOOK_MIAN_INFOTX9	每赶走
HOOK_MIAN_INFOTX10	可开启一个
HOOK_MIAN_INFOTX11	必掉
HOOK_MIAN_INFOTX12	今日剩余探索次数：
HOOK_MIAN_INFOTX13	任务量级越高，奖励越丰富
HOOK_MIAN_INFOTX14	【极】
HOOK_MIAN_INFOTX15	%d分钟
HOOK_MIAN_INFOTX16	免费（%d）
HOOK_MIAN_INFOTX17	剩余时间：
HOOK_MIAN_INFOTX18	马上完成
HOOK_MIAN_INFOTX19	开始探索
HOOK_MIAN_INFOTX20	挑战Lv.%s小怪挂机产出提升：
HOOK_MIAN_INFOTX21	是否花费
HOOK_MIAN_INFOTX22	获取%d小时的收益
HOOK_MIAN_INFOTX23	今日剩余加速次数：%d/%d
HOOK_MIAN_INFOTX24	马上完成此次探索
HOOK_MIAN_INFOTX25	加速挂机
HOOK_MIAN_INFOTX26	英雄派遣
HOOK_MIAN_INFOTX27	派遣巡逻
HOOK_MIAN_INFOTX29	剩余次数不足
HOOK_MIAN_INFOTX30	增加1次探索次数
HOOK_MIAN_INFOTX31	您是VIP%d,还可以购买%d次
HOOK_MIAN_INFOTX32	购买次数
HOOK_MIAN_INFOTX33	购买次数不足
HOOK_MIAN_INFOTX34	尚未选择英雄探索
HOOK_MIAN_INFOTX35	派遣中
HOOK_MIAN_INFOTX36	搜寻结束
HOOK_MIAN_INFOTX37	当前已经是最大星级
HOOK_MIAN_INFOTX38	搜寻次数不足
HOOK_MIAN_INFOTX39	任务奖励：
HOOK_MIAN_INFOTX40	正在搜索……
HOOK_MIAN_INFOTX41	提升当前探索星级
HOOK_MIAN_INFOTX42	升星确认
HOOK_MIAN_INFOTX43	已重置任务
HOOK_MIAN_INFOTX44	%s已开始探索
HOOK_MIAN_INFOTX45	小怪挑战
HOOK_MIAN_INFOTX46	确认是否重置
HOOK_MIAN_INFOTX47	满星任务
HOOK_MIAN_INFOTX48	极品任务
HOOK_MIAN_INFOTX49	重置确认
HOOK_MIAN_INFOTX50	新掉落：
HOOK_MIAN_INFOTX51	暂无可领取资源
HOOK_MIAN_INFOTX52	需要等级：
HOOK_MIAN_INFOTX53	收益详情：
HOOK_MIAN_INFOTX54	掉落详情：
HOOK_MIAN_INFOTX55	最多存储24小时的挂机收益！
HOOK_MIAN_INFOTX56	解锁新掉落：
HOOK_MIAN_INFOTX57	选择英雄
HOOK_MIAN_INFOTX58	探索英雄奖励
HOOK_MIAN_INFOTX59	由玩家选择英雄所决定的英雄奖励
HOOK_MIAN_INFOTX60	产量提升
HOOK_MIAN_INFOTX61	魔法阵产量提升
HOOK_MIAN_INFOTX62	最低战斗力需求：
HOOK_MONSTER_INFOTX1	普通怪物
HOOK_MONSTER_INFOTX2	中级怪物
HOOK_MONSTER_INFOTX3	高级怪物
HOOK_MONSTER_INFOTX4	精英怪物
HOOK_MONSTER_INFOTX5	稀有怪物
HOOK_MONSTER_INFOTX6	挑战进度：
HOOK_MONSTER_INFOTX7	挑战可解锁奖励：
HOOK_MONSTER_INFOTX8	需完成上一轮所有挑战
HOOK_MONSTER_INFOTX9	已全部获得所有奖励
HOOK_MONSTER_INFOTX10	挑战条件：
TAVERN_MAIN_INFO1	限时英雄：
TAVERN_MAIN_INFO2	停留时间:
TAVERN_MAIN_INFO3	消耗%s可直接兑换限时英雄
TAVERN_MAIN_INFO4	刷新成功
TAVERN_MAIN_INFO5	本次免费
TAVERN_MAIN_INFO6	后免费
TAVERN_MAIN_INFO7	今日金币招募：
TAVERN_MAIN_INFO8	再招募
TAVERN_MAIN_INFO9	次必得
TAVERN_MAIN_INFO10	神话英雄
TAVERN_MAIN_INFO11	单次招募
TAVERN_MAIN_INFO12	招募十次
TAVERN_MAIN_INFO13	金币招募次数不足
TAVERN_MAIN_INFO14	可获得：
TAVERN_MAIN_INFO15	必赠
TAVERN_MAIN_INFO16	友情招募
TAVERN_MAIN_INFO17	招募%d次
TAVERN_MAIN_INFO18	刷新时限英雄？
TAVERN_MAIN_INFO19	兑换
TAVERN_MAIN_INFO20	已无金币招募次数
TAVERN_MAIN_INFO21	%s不足，无法招募
CUSTOMS_MAP_BTNTX1	普通
CUSTOMS_MAP_BTNTX2	精英
CUSTOMS_MAP_BTNTX3	困难
CUSTOMS_MAP_BTNTX4	挑战
CUSTOMS_MAP_BTNTX5	扫荡%d次
CUSTOMS_MAP_BTNTX6	扫荡
CUSTOMS_MAP_BTNTX7	切磋
CUSTOMS_MAP_BTNTX8	掉落
CUSTOMS_MAP_BTNTX9	信息
CUSTOMS_MAP_INFOTX1	今日挑战次数：
CUSTOMS_MAP_INFOTX2	首通奖励：
CUSTOMS_MAP_INFOTX3	可能掉落：
CUSTOMS_MAP_INFOTX4	扫荡：
CUSTOMS_MAP_INFOTX5	消耗：
CUSTOMS_MAP_INFOTX6	挑战次数不足
CUSTOMS_MAP_INFOTX7	数据异常
CUSTOMS_MAP_INFOTX8	第%d关
CUSTOMS_MAP_INFOTX9	扫荡结果
CUSTOMS_MAP_INFOTX10	请提升VIP可增加每日重置次数
CUSTOMS_MAP_INFOTX11	解锁
CUSTOMS_MAP_INFOTX12	今日次数
CUSTOMS_MAP_INFOTX13	开启新功能
CUSTOMS_MAP_INFOTX14	通关即可开启扫荡
CUSTOMS_MAP_INFOTX15	获取巨龙
CUSTOMS_MAP_INFOTX16	关卡详情：
CUSTOMS_MAP_INFOTX17	重置挑战次数
CUSTOMS_MAP_INFOTX18	您是VIP%d，还可以购买%d次
CUSTOMS_MAP_INFO19	传承之书激活：
CUSTOMS_MAP_INFO20	传承之书：
CUSTOMS_MAP_INFO21	解救后可获得：
CUSTOMS_MAP_INFO22	请先通关[%s.%s]
STORE_STR_INFOTX01	限购
STORE_STR_INFOTX02	次
STORE_STR_INFOTX03	购买
STORE_STR_INFOTX04	下次刷新
STORE_STR_INFOTX05	剩余次数：
STORE_STR_INFOTX06	刷新成功
STORE_STR_INFOTX07	%d级解锁
STORE_STR_INFOTX08	售罄
STORE_STR_INFOTX09	未满足购买条件
STORE_STR_INFOTX10	商品已经卖光啦
STORE_STR_INFOTX11	购买数量：
STORE_STR_INFOTX12	总价：
STORE_STR_INFOTX13	（剩余：%d）
STORE_STR_INFOTX14	剩余: %d
STORE_STR_INFOTX15	您没有购买资格
STORE_STR_INFOTX16	商品已售罄
STORE_STR_INFOTX17	今日刷新次数已耗尽
STORE_STR_INFOTX18	%s解锁
STORE_STR_INFOTX19	提升至%d级可再多购买%d次
STORE_STR_INFOTX20	提升至VIP%d可再多购买%d次
STORE_STR_INFOTX21	刷新确认
STORE_STR_INFOTX22	是否刷新商品
STORE_STR_INFOTX23	军团%d级解锁
STORE_STR_INFOTX24	战队%d级解锁
STORE_STR_INFOTX25	勇者之塔%d层解锁
STORE_BTN_TX1	刷 新
STORE_BTN_TX2	免费刷新(%d)
BATTLE_STR_ERROR	战斗异常
TAVERN_BTN_TX1	刷新
TAVERN_BTN_TX2	兑换
TAVERN_BTN_TX3	图鉴
TAVERN_BTN_TX4	说明
TAVERN_BTN_TX5	招募
GETWAY_MAIN_INFO1	最高可精炼至%d级
GETWAY_MAIN_INFO2	【强化成长】
GETWAY_MAIN_INFO3	【精炼成长】
GETWAY_MAIN_INFO4	【%d件效果】
COMMON_EQUIP	装 备
COMMON_EQUIPOFF	卸 下
COMMON_JIE	阶
SOLDIER0	阶
SOLDIER1	一阶
SOLDIER2	二阶
SOLDIER3	三阶
SOLDIER4	四阶
SOLDIER5	五阶
SOLDIER6	六阶
SOLDIER7	七阶
SOLDIER8	八阶
SOLDIER9	九阶
SOLDIER10	十阶
STRENGTH_SOLDIER	携带士兵
SOLDIER_UPGRADE_STR_1	部队属性得到提升
SOLDIER_UPGRADE_STR_2	部队数量上限：
SOLDIER_UPGRADE_STR_3	对%s的伤害提升：
SOLDIER_UPGRADE_STR_4	恭喜您部队人数增加
SOLDIER_UPGRADE_STR_5	恭喜您解锁新技能
SOLDIER_UPGRADE_STR_6	恭喜您解锁
SOLDIER_MAX	当前已经满阶
COMMON_RELEASE	解救
COMMON_ALREADY_FINISH	已达成
COMMON_ALREADY_CONTROL	已收服
COMMON_ALREADY_RELEASED	已解救
COMMON_ALREADY_CAN_RELEASED	可解救
COMMON_ALREADY_GOT	已获得
COMMON_NOT_GOT	未获得
COMMON_ALREADY_UNLOCK	已解锁
COMMON_ALREADY_ACTIVE	已激活
COMMON_NOT_ACTIVE	未激活
COMMON_MAINROLE	领主
COMMON_STR_QUE	吗？
COMMON_STR_RESOLVE	分解
COMMON_STR_MERGE	合成
COMMON_STR_MERGE_SUSS	合成成功
COMMON_STR_MERGE_FAIL	合成失败
COMMON_STR_ASSIST	上阵
COMMON_STR_GET	获取
COMMON_STR_OWN	拥有：
COMMON_STR_LQ	领取
COMMON_STR_NOFINISH	未达成
COMMON_STR_FIGHT	战斗力
COMMON_STR_OK	确定
STR_OK_1	确  定
STR_CANCEL_1	取  消
COMMON_STR_CANCLE	取消
COMMON_BUY_TIMES_OVER	已经没有购买次数
COMMON_NO_CASH	钻石不足
COMMON_NO_GOLD	金币不足
COMMON_RANK_MING	名
COMMON_RANK_MING1	名之后
COMMON_RANK_GRADE	%d级
COMMON_STR_LEVELOPEN	领主%d级开放
COMMON_STR_USE_CUSTOM_OPEN	通关%s可使用
COMMON_STR_RELEASE_VILLAGE_OPEN	解救[%s.%s]开放
COMMON_STR_NOTOPEN	该功能尚未开放
COMMON_STR_CONTINUE	点击任意位置继续
COMMON_STR_QUIT	点击任意位置退出
COMMON_STR_NOTENOUGH	%s不足，是否前往购买%s
COMMON_STR_COST	是否花费
COMMON_STR_COST1	确定花费
COMMON_STR_CONGRATS	恭喜获得
COMMON_STR_PARTDESC	适用部位：
COMMON_STR_DELETE	删除
COMMON_STR_ALLDELETE	全部删除
COMMON_STR_ONLINE	在线
COMMON_STR_ERROR	error：%s
FOOD_RED_NOT_ENOUGH	红色体力不足
FOOD_ERROR_SHOW	体力显示异常
STR_CONNECTING	网络连接中
COLOR_1	普通
COLOR_2	杰出
COLOR_3	稀有
COLOR_4	史诗
COLOR_5	神话
COLOR_6	远古
COLOR_7	创世
COMMON_QUALITY_1	普通
COMMON_QUALITY_2	杰出
COMMON_QUALITY_3	稀有
COMMON_QUALITY_4	史诗
COMMON_QUALITY_5	神话
COMMON_QUALITY_6	远古
COMMON_QUALITY_7	创世
COMMON_QUALITY_STR	品质
COMMON_COLOR_STR	色
COMMON_COLLECT_STR	已搜集：
COMMON_NOT_EMBED	未镶嵌任何宝石
COMMON_STR_GEM_NAME_1	红宝石
COMMON_STR_GEM_NAME_2	黄宝石
COMMON_STR_GEM_NAME_3	蓝宝石
COMMON_STR_GEM_NAME_4	绿宝石
COMMON_STR_NUM_LABEL	数量：
COMMON_STR_SOLDIER_NAME_1	步兵
COMMON_STR_SOLDIER_NAME_2	远程
COMMON_STR_SOLDIER_NAME_3	骑兵
COMMON_STR_INPUT_LIMIT	最多输入%d个字符
COMMON_STR_NOT_OPEN	未开启
COMMON_STR_HAS_PASS	已通关
SOLDIER_LEGION_1	步兵军团
SOLDIER_LEGION_2	远程军团
SOLDIER_LEGION_3	骑兵军团
STR_ARMS_THANKS_1	优先寻找本排距离自己最近的敌人，可承受2个近战单位攻击
STR_ARMS_THANKS_2	优先寻找全场距离自己最近的敌人进行攻击
STR_ARMS_THANKS_3	正前方没有敌方军团时，优先攻击敌方后排距离自己最近的军团
STR_COUNTER_RELATION	兵种克制
STR_BATTLE_CANCEL	取消施法
FIGHTFORCE_OF_ARMY	我方战力
FIGHTFORCE_OF_ENEMY	敌方战力
COMMON_STR_CHALLENGE	挑战
COMMON_STR_FINISH_RIGHT_NOW	马上完成
COMMON_STR_TITLE_COMMIT	确认
COMMON_STR_TITLE_COMMIT2	提示
COMMON_STR_PASSIVE_SKILL	被动技能
COMMON_STR_BASE	基础
COMMON_STR_ATTR	属性
COMMON_STR_WATING	敬请期待
COMMON_STR_NOT_OPEN_RECHARGE	暂未开放充值
COMMON_STR_FATE_ASSIST	羁绊
COMMON_STR_CREATE	创建
COMMON_STR_NOT_TIME	未到时间
COMMON_STR_HAS_NONE_HERO_CHIP	暂无任何英雄碎片
COMMON_STR_HAS_NONE_HERO_CARD	暂无任何英雄卡牌
COMMON_STR_HAS_NONE_HERO_INFO	暂无任何英雄信息
COMMON_STR_EQUIP_ON	穿戴
COMMON_STR_MONSTER	怪物
COMMON_STR_DETAIL	详情
TITLE_TP	突破
COMMON_TITLE_VICTORY	战斗成功
COMMON_TITLE_FAILURE	战斗失败
WINDOW_TITLE_CHART	图 鉴
WINDOW_TITLE_GETWAY	获取途径
