Key	文本内容
text_rollNoticeHtmStr_8	<font color="#ffffffff" size="20">可喜可贺！恭喜领主</font><font color="#ff3300ff" size="20"><s1></font><font color="#ffffffff" size="20">等级升至</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">级。</font>
text_rollNoticeHtmStr_9	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">经过不懈的努力，成功的将</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">的天命提升至</font><font color="#ff3300ff" size="20"><s3></font><font color="#ffffffff" size="20">级。</font>
text_rollNoticeHtmStr_10	<font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">经过艰苦的训练，成功的将</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">的部队提升至</font><font color="#ff3300ff" size="20"><s3></font><font color="#ffffffff" size="20">阶。</font>
text_rollNoticeHtmStr_11	<font color="#ffffffff" size="20">恭喜领主</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">将英雄</font><font color="#ff3300ff" size="20"><s2></font><font color="#ffffffff" size="20">提升至4星，实力大幅提升！</font>
text_rollNoticeHtmStr_12	<font color="#ffffffff" size="20">恭喜领主</font><font color="#ffcc00ff" size="20"><s1></font><font color="#ffffffff" size="20">将英雄</font><font color="#ffff00ff" size="20"><s2></font><font color="#ffffffff" size="20">提升至5星，堪称无敌！</font>
text_rollNoticeHtmStr_14	<font color="#ffffffff" size="20" strokeSize="1" strokeColor="#000000ff">欢迎大家加入官方玩家交流群：</font><font color="#25ed25ff" size="20" strokeSize="1"strokeColor="#000000ff">952846837</font><font color="#ffffffff" size="20" strokeSize="1" strokeColor="#000000ff">（加群有礼包）唯一官方微信公众号：</font><font color="#25ed25ff" size="20" strokeSize="1" strokeColor="#000000ff">lzdld2018</font><font color="#ffffffff" size="20" strokeSize="1" strokeColor="#000000ff">（关注有惊喜哦）</font>
text_rollNoticeStr_1	恭喜领主<s1>在酒馆中招募到英雄<s2>，实力大幅提升！
text_rollNoticeStr_2	恭喜领主<s1>合成英雄<s2>，实力大幅提升！
text_rollNoticeStr_3	恭喜<s1>击败了<s2>，登基成为国王！
text_rollNoticeStr_4	<s1>击败了<s2>成为竞技场霸主，所向披靡，千古流芳！
text_rollNoticeStr_5	<s1>击败了<s2>成为竞技场第<s3>名，名字已响彻大陆！
text_rollNoticeStr_6	恭喜<s1>服<s2>在王者之战中夺冠，称霸大陆，举世无敌！
text_rollNoticeStr_7	恭喜<s1>使用朗姆酒兑换出5星英雄<s2>。
text_rollNoticeStr_8	可喜可贺！恭喜领主<s1>等级升至<s2>级。
text_rollNoticeStr_9	<s1>经过不懈的努力，成功的将<s2>的天命提升至<s3>级。
text_rollNoticeStr_10	<s1>经过艰苦的训练，成功的将<s2>的部队提升至<s3>阶。
text_rollNoticeStr_11	恭喜领主<s1>将英雄<s2>提升至4星，实力大幅提升！
text_rollNoticeStr_12	恭喜领主<s1>将英雄<s2>提升至5星，堪称无敌！
text_rollNoticeStr_14	欢迎大家加入官方玩家交流群：952846837（加群有礼包）唯一官方微信公众号：lzdld2018（关注有惊喜）
text_systemNotice	系统公告
text_territoryLogHtmStr_1	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">势如破竹，在我方领地激活了一座石碑</font>
text_territoryLogHtmStr_2	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">势如破竹，在</font><font size = #"24"，color="#ff1e00ff">{2}</font><font size = #"24"，color="#ffffffff">领地激活了一座石碑</font>
text_territoryLogHtmStr_3	<font size = #"24"，color="#ffffffff">我方领地</font><font size = #"24"，color="#ffcc00ff">{1}</font><font size = #"24"，color="#ffffffff">遭到了</font><font size = #"24"，color="#ff1e00ff">{2}·{3}</font><font size = #"24"，color="#ffffffff">的掠夺，产量降低</font>
text_territoryLogHtmStr_4	<font size = #"24"，color="#ffffffff">我方军团开启了来往于敌我领地的</font><font size = #"24"，color="#ffcc00ff">传送门</font><font size = #"24"，color="#ffffffff"></font>
text_territoryLogHtmStr_5	<font size = #"24"，color="#ffcc00ff">传送门</font><font size = #"24"，color="#ffffffff">一阵涌动，感应到了敌方领地入口的位置</font>
text_territoryLogHtmStr_6	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">爬上了</font><font size = #"24"，color="#ffcc00ff">{2}</font><font size = #"24"，color="#ffffffff">，驱散了远方的迷雾</font>
text_territoryLogHtmStr_7	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">成功占领</font><font size = #"24"，color="#ffcc00ff">{2}</font><font size = #"24"，color="#ffffffff">，每日可为军团成员带来收益</font>
text_territoryLogHtmStr_8	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">经一番恶战，于我方领地击退了</font><font size = #"24"，color="#ff1e00ff">{2}·{3}</font>
text_territoryLogHtmStr_9	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">在敌方领地不幸被</font><font size = #"24"，color="#ff1e00ff">{2}·{3}</font><font size = #"24"，color="#ffffffff">击败</font>
text_territoryLogHtmStr_10	<font size = #"24"，color="#ff1e00ff">{1}·{2}</font><font size = #"24"，color="#ffffffff">正在我方领地大行杀伐</font>
text_territoryLogHtmStr_11	<font size = #"24"，color="#24ff00ff">{1}</font><font size = #"24"，color="#ffffffff">掠夺了</font><font size = #"24"，color="#ff1e00ff">{2}</font><font size = #"24"，color="#ffffffff">领地的</font><font size = #"24"，color="#ffcc00ff">{3}</font><font size = #"24"，color="#ffffffff">，收获颇丰</font>
text_territoryLogStr_1	{1}势如破竹，在我方领地激活了一座石碑
text_territoryLogStr_2	{1}势如破竹，在{2}领地激活了一座石碑
text_territoryLogStr_3	我方领地{1}遭到了{2}·{3}的掠夺，产量降低
text_territoryLogStr_4	我方军团开启了来往于敌我领地的传送门
text_territoryLogStr_5	传送门一阵涌动，感应到了敌方领地入口的位置
text_territoryLogStr_6	{1}爬上了{2}，驱散了远方的迷雾
text_territoryLogStr_7	{1}成功占领{2}，每日可为军团成员带来收益
text_territoryLogStr_8	{1}经一番恶战，于我方领地击退了{2}·{3}
text_territoryLogStr_9	{1}在敌方领地不幸被{2}·{3}击败
text_territoryLogStr_10	{1}·{2}正在我方领地大行杀伐
text_territoryLogStr_11	{1}掠夺了{2}领地的{3}，收获颇丰
text_dragonLimit_1	VIP9专属礼包
text_dragonLimit_2	超级首充
text_dragonLimit_3	拜恩降临礼包
text_dragonLimit_4	七天乐第4天
text_av_activittes_lucky_dragon	招财龙
text_av_activittes_open_rank_level	开服等级排行
text_av_activittes_open_rank_ff	5日强者榜
text_av_activittes_open_rank_ff_10	10日王者榜
text_av_activittes_open_rank_ff_15	15日至尊榜
text_av_activittes_levelUp	等级直升
text_av_activittes_open_seven	七天乐
text_av_activittes_first_pay	首充
text_av_activittes_sign	签到
text_av_activittes_sign_high	豪华签到
text_av_activittes_level	等级礼包
text_av_activittes_vip_gift	VIP专属礼包
text_av_activittes_grow_fund	成长基金
text_av_activittes_war_college	学院
text_av_activittes_week_card	特权卡
text_av_activittes_month_card	高级特权卡
text_av_activittes_gift_bag	礼包
text_av_activittes_assets_feed	补给站
text_av_activittes_perks	特权
text_av_activittes_todaydouble	村庄双倍
text_av_activittes_login_goodgift	登录奖励
text_av_activittes_human_arms	圣武进阶
text_av_activittes_human_wing	圣翼进阶
text_av_activittes_human_mount	圣骑进阶
text_av_activittes_tavern_recruit	酒馆派对
text_av_activittes_expend_gift	累计消费
text_av_activittes_ordinary_recruit	平凡招募
text_av_activittes_senior_recruit	奢华招募
text_av_activittes_limit_exchange	限时兑换
text_av_activittes_alasd_pray	灯神祈愿
text_av_activittes_investment	一本万利
text_av_activittes_day_recharge	钻石狂欢
text_av_activittes_accumulate_recharge	累充豪礼
text_av_activittes_day_exchange	节日兑换
text_av_activittes_manually	龙纹手册
text_av_activittes_open_holiday	限时盛典
text_av_activittes_lucky_rotate	幸运转盘
text_av_activittes_doappraise	评价
text_av_activittes_zero_gift	0元礼包
text_av_activittes_doddqqgroup	加群领福利
text_av_activittes_open_rank_recharge	充值排行
text_av_activittes_open_rank_expense	消费排行
text_av_activittes_facebook	facebook
text_av_activittes_single_recharge	单充有礼
text_av_activittes_exchange_item	积分兑换
text_av_activittes_accumulate_daily	每日累充
text_av_activittes_level_up	等级提升
text_av_activittes_follow_rewards	关注送礼
text_av_activittes_help_equip	矮人的援助
text_av_activittes_help_octopus	章鱼宝藏
text_av_activittes_destiny_rotate	命运之轮
text_avmanually_recruit1	进行1次平凡招募
text_avmanually_recruit2	进行1次奢华招募
text_avmanually_diggingBox	获得龙晶矿洞终极宝藏
text_avmanually_hero	合成1个6星英雄
text_avmanually_speedUp	进行1次加速挂机
text_avmanually_goblin	捕获1只哥布林
text_avmanually_arena4	本服竞技场结算前10名
text_avmanually_arena5	跨服竞技场结算前10名
text_avmanually_arena6	王者竞技场结算前10名
text_avmanually_king	王城结算时为国王
text_av_firstPay_desc_1	累计购买{1}金钻立即获得：
text_av_buyaward_week	限量抢购
text_av_buyaward_week_1	突破抢购
text_av_buyaward_week_2	号角抢购
text_av_buyaward_week_3	加速卡抢购
text_av_buyaward_week_4	宝石抢购
text_av_buyaward_week_5	龙晶抢购
text_av_buyaward_week_6	幸运币抢购
text_av_buyaward_week_7	英雄抢购
text_popwindowopenseven_desc_1	暂无
text_popwindowopenseven_desc_2	暂无
text_av_openseven_notice_1	蓝钻
text_av_openseven_notice_2	法老
text_av_openseven_notice_3	雷霆护肩
text_av_openseven_notice_4	雷龙·托尔
text_av_openseven_notice_5	雷霆斗篷
text_av_openseven_notice_6	神话英雄
text_av_openseven_notice_7	死亡大帝
text_av_openseven_tab_0_1	每日福利
text_av_openseven_tab_0_2	特价抢购
text_av_openseven_tab_1_1	普通冒险
text_av_openseven_tab_1_2	英雄收集
text_av_openseven_tab_2_1	黄铜竞技场
text_av_openseven_tab_2_2	黄铜竞技场
text_av_openseven_tab_3_1	巨龙进阶
text_av_openseven_tab_3_2	巨龙进阶
text_av_openseven_tab_4_1	装备穿戴
text_av_openseven_tab_4_2	装备穿戴
text_av_openseven_tab_5_1	王城争霸
text_av_openseven_tab_5_2	王城争霸
text_av_openseven_tab_6_1	英雄突破
text_av_openseven_tab_6_2	部位觉醒
text_av_openseven_tab_7_1	战力霸主
text_av_openseven_tab_7_2	圣武进阶
text_av_openseven_desc_login	登录赠送
text_av_openseven_desc_sale	超值折扣，放心购买
text_av_openseven_desc_level	领主等级达到{2}级
text_av_openseven_desc_pay	累计购买{2}
text_av_openseven_desc_payOnce	单笔充值{1}元{2}次
text_av_openseven_desc_battle	通关冒险-[普通.{2}]
text_av_openseven_desc_elite	通关冒险-[精英.{2}]
text_av_openseven_desc_soldierLevel	{2}名英雄部队提升至{1}阶
text_av_openseven_desc_roleReborn	{2}名英雄突破至+{1}
text_av_openseven_desc_digging	龙晶矿洞挖开{2}个宝藏
text_av_openseven_desc_dragon	{2}条巨龙提升至{1}级
text_av_openseven_desc_weapon	圣武进阶至{2}阶
text_av_openseven_desc_wing	圣翼进阶至{2}阶
text_av_openseven_desc_partAwake	英雄部位觉醒总星数达到{2}星
text_av_openseven_desc_gemLevel	镶嵌宝石总等级达到{2}级
text_av_openseven_desc_towerTier	勇者之塔达到第{2}层
text_av_openseven_desc_destiny	{2}名英雄天命强化至+{1}
text_av_openseven_desc_heroShopRefresh	英雄商店累计刷新{2}次
text_av_openseven_desc_heroShopBuy	英雄商店累计购物{2}次
text_av_openseven_desc_equiprefine	穿戴装备精炼总等阶达到{2}阶
text_av_openseven_desc_fightForce	总战力达到{1}
text_av_openseven_desc_equipUpgrade	穿戴{2}件装备强化至{1}级
text_av_openseven_desc_arenaRank1	黄铜或以上竞技场达到前{1}名
text_av_openseven_desc_arenaRank2	本服竞技场达到前{1}名
text_av_openseven_desc_arenaRank3	黄金或以上竞技场达到前{1}名
text_av_openseven_desc_arenaRank4	跨服竞技场达到前{1}名
text_av_openseven_desc_arenaRank5	钻石或以上竞技场达到前{1}名
text_av_openseven_desc_arenaRank6	王者竞技场达到前{1}名
text_av_openseven_desc_roleReborn1	穿戴{2}件绿色以上品质装备
text_av_openseven_desc_roleReborn2	穿戴{2}件紫色以上品质装备
text_av_openseven_desc_roleReborn3	穿戴{2}件红色以上品质装备
text_av_openseven_desc_roleReborn4	穿戴{2}件橙色以上品质装备
text_av_openseven_desc_roleReborn5	穿戴{2}件红色以上品质装备
text_av_openseven_desc_position0	王城争霸爵位达到[国王]
text_av_openseven_desc_position1	王城争霸爵位达到[亲王]
text_av_openseven_desc_position2	王城争霸爵位达到[公爵]
text_av_openseven_desc_position3	王城争霸爵位达到[侯爵]
text_av_openseven_desc_position4	王城争霸爵位达到[伯爵]
text_av_openseven_desc_position5	王城争霸爵位达到[子爵]
text_av_openseven_desc_position6	王城争霸爵位达到[男爵]
text_av_openseven_desc_position7	王城争霸爵位达到[勋爵]
text_av_openseven_desc_position8	王城争霸爵位达到[领主]
text_av_openseven_desc_position9	王城争霸爵位达到[骑士]
text_av_openseven_desc_position10	王城争霸爵位达到[公民]
text_av_openseven_desc_starHero	收集{2}个{1}星英雄
text_av_openseven_desc_giftBuy_1_1	一日特惠礼包#1
text_av_openseven_desc_giftBuy_1_2	一日特惠礼包#1
text_av_openseven_desc_giftBuy_1_3	一日特惠礼包#2
text_av_openseven_desc_giftBuy_1_4	一日特惠礼包#3
text_av_openseven_desc_giftBuy_1_5	一日特惠礼包#4
text_av_openseven_desc_giftBuy_1_6	一日特惠礼包#5
text_av_openseven_desc_giftBuy_1_7	一日特惠礼包#6
text_av_openseven_desc_giftBuy_2_1	二日特惠礼包#1
text_av_openseven_desc_giftBuy_2_2	二日特惠礼包#1
text_av_openseven_desc_giftBuy_2_3	二日特惠礼包#2
text_av_openseven_desc_giftBuy_2_4	二日特惠礼包#3
text_av_openseven_desc_giftBuy_2_5	二日特惠礼包#4
text_av_openseven_desc_giftBuy_2_6	二日特惠礼包#5
text_av_openseven_desc_giftBuy_2_7	二日特惠礼包#6
text_av_openseven_desc_giftBuy_3_1	三日特惠礼包#1
text_av_openseven_desc_giftBuy_3_2	三日特惠礼包#1
text_av_openseven_desc_giftBuy_3_3	三日特惠礼包#2
text_av_openseven_desc_giftBuy_3_4	三日特惠礼包#3
text_av_openseven_desc_giftBuy_3_5	三日特惠礼包#4
text_av_openseven_desc_giftBuy_3_6	三日特惠礼包#5
text_av_openseven_desc_giftBuy_3_7	三日特惠礼包#6
text_av_openseven_desc_giftBuy_4_1	四日特惠礼包#1
text_av_openseven_desc_giftBuy_4_2	四日特惠礼包#1
text_av_openseven_desc_giftBuy_4_3	四日特惠礼包#2
text_av_openseven_desc_giftBuy_4_4	四日特惠礼包#3
text_av_openseven_desc_giftBuy_4_5	四日特惠礼包#4
text_av_openseven_desc_giftBuy_4_6	四日特惠礼包#5
text_av_openseven_desc_giftBuy_4_7	四日特惠礼包#6
text_av_openseven_desc_giftBuy_5_1	五日特惠礼包#1
text_av_openseven_desc_giftBuy_5_2	五日特惠礼包#1
text_av_openseven_desc_giftBuy_5_3	五日特惠礼包#2
text_av_openseven_desc_giftBuy_5_4	五日特惠礼包#3
text_av_openseven_desc_giftBuy_5_5	五日特惠礼包#4
text_av_openseven_desc_giftBuy_5_6	五日特惠礼包#5
text_av_openseven_desc_giftBuy_5_7	五日特惠礼包#6
text_av_openseven_desc_giftBuy_6_1	六日特惠礼包#1
text_av_openseven_desc_giftBuy_6_2	六日特惠礼包#1
text_av_openseven_desc_giftBuy_6_3	六日特惠礼包#2
text_av_openseven_desc_giftBuy_6_4	六日特惠礼包#3
text_av_openseven_desc_giftBuy_6_5	六日特惠礼包#4
text_av_openseven_desc_giftBuy_6_6	六日特惠礼包#5
text_av_openseven_desc_giftBuy_6_7	六日特惠礼包#6
text_av_openseven_desc_giftBuy_7_1	七日特惠礼包#1
text_av_openseven_desc_giftBuy_7_2	七日特惠礼包#1
text_av_openseven_desc_giftBuy_7_3	七日特惠礼包#2
text_av_openseven_desc_giftBuy_7_4	七日特惠礼包#3
text_av_openseven_desc_giftBuy_7_5	七日特惠礼包#4
text_av_openseven_desc_giftBuy_7_6	七日特惠礼包#5
text_av_openseven_desc_giftBuy_7_7	七日特惠礼包#6
text_av_openholiday_notice_1	盛典任务
text_av_openholiday_notice_2	盛典福利
text_av_openholiday_notice_3	盛典抢购
text_av_openholiday_tab_1_1	竞技专家
text_av_openholiday_tab_1_2	招募专家
text_av_openholiday_tab_1_3	转盘专家
text_av_openholiday_tab_1_4	英雄专家
text_av_openholiday_tab_2_1	狂欢礼包
text_av_openholiday_tab_2_2	超值特惠
text_av_openholiday_tab_2_3	累充豪礼
text_av_openholiday_tab_2_4	登录狂欢
text_av_openholiday_tab_3_1	5星英雄抢购
text_av_openholiday_tab_3_2	高级幸运币抢购
text_av_openholiday_tab_3_3	装备抢购
text_av_openholiday_tab_3_4	号角抢购
text_av_openholiday_desc_battlefight	完成{2}次任意关卡
text_av_openholiday_desc_arena	在竞技场进行{2}次挑战
text_av_openholiday_desc_tavern	在酒馆进行{2}平凡招募
text_av_openholiday_desc_RecruitNum	在酒馆进行{2}招募
text_av_openholiday_desc_fancyRecruitNum	在酒馆进行{2}奢华招募
text_av_openholiday_desc_luckyRotateNum	在幸运转盘进行{2}次转动
text_av_openholiday_desc_cave	龙晶矿洞挖开{2}个宝藏
text_av_openholiday_top_desc_2_1	盛典福利，连续登录拿超值好礼，超值折扣限时特惠！
text_av_openholiday_top_desc_3_1	盛典抢购，超值折扣
text_av_openholiday_desc_giftBuy1	狂欢礼包#1
text_av_openholiday_desc_giftBuy2	狂欢礼包#2
text_av_openholiday_desc_giftBuy3	狂欢礼包#3
text_av_openholiday_desc_giftBuy4	狂欢礼包#4
text_av_openholiday_desc_giftBuy5	狂欢礼包#5
text_av_openholiday_desc_giftBuy6	狂欢礼包#6
text_av_openholiday_desc_giftBuy7	狂欢礼包#7
text_av_openholiday_desc_cashBuy	限购{2}次
text_av_openholiday_desc_paid	累计购买{2}金钻
text_av_openholiday_desc_login	累计登录{2}天
text_av_openholiday_desc_sale1	超值折扣，放心购买
text_av_openholiday_desc_sale2	超值折扣，放心购买
text_av_openholiday_desc_sale3	超值折扣，放心购买
text_av_openholiday_desc_sale4	超值折扣，放心购买
text_av_giftbag_name_1	每日强者礼包（1折）
text_av_giftbag_name_2	每日王者礼包（1折）
text_av_giftbag_name_3	每日至尊礼包（1折）
text_av_giftbag_name_4	特殊礼包
text_av_giftbag_name_5	特殊礼包
text_av_giftbag_name_6	特殊礼包
text_av_giftbag_name_7	特殊礼包
text_av_giftbag_name_8	特殊礼包
text_av_giftbag_name_9	特殊礼包
text_av_giftbag_name_10	特殊礼包
text_av_giftbag_name_1000	神圣石包
text_av_giftbag_name_1009	资源补给包#2
text_av_giftbag_name_1010	资源补给包#1
text_av_giftbag_name_1020	装备补给包
text_av_giftbag_name_1030	英雄补给包#1
text_av_giftbag_name_1031	英雄补给包#2
text_av_giftbag_name_1040	装备大师包
text_av_giftbag_name_1050	符文大师包
text_av_giftbag_name_1060	觉醒大师包
text_av_giftbag_name_1070	宝石大师包
text_av_giftbag_name_1080	天命提升包
text_av_giftbag_name_2010	月度礼包#1
text_av_giftbag_name_2020	月度礼包#2
text_av_giftbag_name_2030	月度礼包#3
text_av_giftbag_name_2040	月度礼包#4
text_av_giftbag_name_2050	月度礼包#5
text_av_giftbag_name_2060	月度礼包#6
text_av_giftbag_name_3010	限时特卖#1
text_av_giftbag_name_3020	限时特卖#2
text_av_giftbag_name_3030	限时特卖#3
text_av_giftbag_name_3040	限时特卖#4
text_av_giftbag_name_3050	限时特卖#5
text_av_giftbag_name_3060	限时特卖#6
text_av_giftbag_name_3070	限时特卖#7
text_av_giftbag_name_3080	限时特卖#8
text_av_giftbag_name_3090	限时特卖#9
text_av_giftbag_name_10101	圣武进阶包#1
text_av_giftbag_name_10102	圣武进阶包#2
text_av_giftbag_name_10103	圣武进阶包#3
text_av_giftbag_name_10104	圣武进阶包#4
text_av_giftbag_name_10105	圣武进阶包#5
text_av_giftbag_name_10201	圣翼进阶包#1
text_av_giftbag_name_10202	圣翼进阶包#2
text_av_giftbag_name_10203	圣翼进阶包#3
text_av_giftbag_name_10204	圣翼进阶包#4
text_av_giftbag_name_10205	圣翼进阶包#5
text_av_giftbag_name_10301	圣骑进阶包#1
text_av_giftbag_name_10302	圣骑进阶包#2
text_av_giftbag_name_10303	圣骑进阶包#3
text_av_giftbag_name_10304	圣骑进阶包#4
text_av_giftbag_name_10305	圣骑进阶包#5
text_av_giftbag_name_10111	圣武进阶包#1
text_av_giftbag_name_10112	圣武进阶包#2
text_av_giftbag_name_10113	圣武进阶包#3
text_av_giftbag_name_10114	圣武进阶包#4
text_av_giftbag_name_10115	圣武进阶包#5
text_av_giftbag_name_10211	圣翼进阶包#1
text_av_giftbag_name_10212	圣翼进阶包#2
text_av_giftbag_name_10213	圣翼进阶包#3
text_av_giftbag_name_10214	圣翼进阶包#4
text_av_giftbag_name_10215	圣翼进阶包#5
text_av_giftbag_name_10311	圣骑进阶包#1
text_av_giftbag_name_10312	圣骑进阶包#2
text_av_giftbag_name_10313	圣骑进阶包#3
text_av_giftbag_name_10314	圣骑进阶包#4
text_av_giftbag_name_10315	圣骑进阶包#5
text_av_giftbag_name_4010	豪华助战礼包#1
text_av_giftbag_name_4011	豪华助战礼包#2
text_av_giftbag_name_4012	豪华助战礼包#3
text_av_giftbag_name_4013	豪华助战礼包#4
text_av_giftbag_name_4014	豪华助战礼包#5
text_av_giftbag_name_4015	豪华助战礼包#6
text_av_giftbag_name_4049	远古至尊礼包
text_av_giftbag_name_4050	拜恩降临礼包
text_av_giftbag_name_4051	创世至尊礼包
text_av_giftbag_name_4101	冰晶至尊礼包
text_av_giftbag_name_4102	雷霆至尊礼包
text_av_giftbag_name_4103	龙鳞至尊礼包
text_av_giftbag_name_4104	时光加速礼包
text_av_giftbag_name_1110	每周福利礼包#1
text_av_giftbag_name_1120	每周福利礼包#2
text_av_giftbag_name_1130	每周福利礼包#3
text_av_giftbag_name_1140	每周福利礼包#4
text_av_giftbag_name_1150	每周福利礼包#5
text_av_giftbag_name_1160	每周福利礼包#6
text_av_giftbag_name_6001	蓝钻英雄礼包#1
text_av_giftbag_name_6002	蓝钻英雄礼包#2
text_av_giftbag_name_6003	蓝钻成长礼包#1
text_av_giftbag_name_6004	蓝钻幸运礼包#1
text_av_giftbag_name_6005	蓝钻圣武礼包#1
text_av_giftbag_name_6006	蓝钻圣翼礼包#2
text_av_giftbag_name_6007	蓝钻圣骑礼包#3
text_av_giftbag_name_7010	犀牛特卖包#1
text_av_giftbag_name_7020	雷霆特卖包#1
text_av_giftbag_name_7030	雷霆特卖包#2
text_av_giftbag_name_7040	雷霆特卖包#3
text_av_giftbag_name_7050	龙鳞特卖包#1
text_av_giftbag_name_7060	龙鳞特卖包#2
text_av_giftbag_name_7070	龙鳞特卖包#3
text_av_giftbag_name_7080	龙鳞特卖包#4
text_av_giftbag_name_7090	巨龙特卖包#1
text_av_giftbag_name_8010	龙鳞至尊包#2
text_av_giftbag_name_8020	龙鳞至尊包#3
text_av_giftbag_name_9010	巨龙至尊包#1
text_av_giftbag_name_9011	巨龙至尊包#2
text_av_giftbag_name_9012	巨龙至尊包#3
text_av_giftbag_name_9013	巨龙至尊包#1
text_av_giftbag_name_9014	巨龙至尊包#2
text_av_giftbag_name_9015	巨龙至尊包#3
text_av_giftbag_name_9016	巨龙至尊包#1
text_av_giftbag_name_9017	巨龙至尊包#2
text_av_giftbag_name_9018	巨龙至尊包#3
text_av_giftbag_name_9019	雷神至尊包#1
text_av_giftbag_name_9020	雷神至尊包#2
text_av_giftbag_name_9021	雷神至尊包#3
text_av_giftbag_name_101	金币补给
text_av_giftbag_name_102	经验药水补给
text_av_giftbag_name_103	突破石补给
text_av_giftbag_name_104	奢华号角补给
text_av_giftbag_name_105	5小时加速卡补给
text_av_giftbag_name_106	魔法棒补给
text_av_giftbag_name_107	龙晶包补给
text_av_giftbag_name_108	4星英雄碎片补给
text_av_giftbag_name_109	宝石袋补给
text_av_giftbag_name_110	星纹卷轴补给
text_av_giftbag_name_1111	每周招募礼包#1
text_av_giftbag_name_1112	每周招募礼包#2
text_av_giftbag_name_1113	每周招募礼包#3
text_av_giftbag_name_1114	每周招募礼包#4
text_av_giftbag_name_1115	每周招募礼包#5
text_av_giftbag_name_1211	每周突破礼包#1
text_av_giftbag_name_1212	每周突破礼包#2
text_av_giftbag_name_1213	每周突破礼包#3
text_av_giftbag_name_1214	每周突破礼包#4
text_av_giftbag_name_1215	每周突破礼包#5
text_av_giftbag_name_1311	每周觉醒礼包#1
text_av_giftbag_name_1312	每周觉醒礼包#2
text_av_giftbag_name_1313	每周觉醒礼包#3
text_av_giftbag_name_1314	每周觉醒礼包#4
text_av_giftbag_name_1315	每周觉醒礼包#5
text_av_giftbag_name_1411	每周金币礼包#1
text_av_giftbag_name_1412	每周金币礼包#2
text_av_giftbag_name_1413	每周金币礼包#3
text_av_giftbag_name_1414	每周金币礼包#4
text_av_giftbag_name_1415	每周金币礼包#5
text_av_giftbag_name_1511	每周幸运礼包#1
text_av_giftbag_name_1512	每周幸运礼包#2
text_av_giftbag_name_1513	每周幸运礼包#3
text_av_giftbag_name_1514	每周幸运礼包#4
text_av_giftbag_name_1515	每周幸运礼包#5
text_av_follow_rewards_title_1	Like Fanpage & Get Reward
text_av_follow_rewards_title_2	Like Eyougame Page & Get Reward
text_av_follow_rewards_title_3	Follow our Instagram & Get Reward
